date,tick_type,crag_name,route_name,grade,area_name,tries,rating,notes,partner,style
2017-08-05,attempt,Steingarten / Langer Berg Wände,Referendarsteig,7+,Sektor 1,2,5,,,sport
2017-08-05,onsight,Steingarten / Langer Berg Wände,Methusalemkante,6+,Sektor 1,1,3,,,sport
2017-08-05,onsight,Steingarten / Langer Berg Wände,Westkante (Alter Weg),4+,Sektor 1,1,4,,,sport
2017-08-09,onsight,Hartensteiner Wand,Hummelstaner Weg,5+,Hartensteiner Wand,1,4,,,sport
2017-08-20,attempt,Engelswand,Mikado,6b+,Engelswand,2,,,,sport
2017-08-20,redpoint,Hartensteiner Wand,Hummelstaner Weg,5+,Hartensteiner Wand,2,4,,,sport
2017-08-20,redpoint,Oetz,Linke Wand,6a,Oetz,2,4,,,sport
2017-08-20,onsight,Engelswand,Der Wolf und die Zwerge,5c+,Engelswand,1,4,,,sport
2017-08-20,attempt,Engelswand,Windwalker,6b+,Engelswand,2,,,,sport
2017-08-20,attempt,Roter Fels,Kilomanie,7+/8-,Sektor 3,2,4,,,sport
2017-08-20,onsight,Hartensteiner Wand,Die 101jährige,6-,Hartensteiner Wand,1,4,,,sport
2017-08-20,redpoint,Roter Fels,Kilomanie,8-,Sektor 3,2,4,,,sport
2017-08-20,redpoint,Hartensteiner Wand,Die 101jährige,6,Hartensteiner Wand,2,4,,,sport
2017-08-20,attempt,Ankatalturm & Ankatalwand,Computerspiele,7+/8-,Ankatalwand,2,5,,,sport
2017-08-20,onsight,Engelswand,Its your time,6a,Engelswand,1,4,,,sport
2017-08-20,flash,Oetz,Schmidtchen-Schleicher,6b,Oetz,1,5,,,sport
2017-08-20,onsight,Hartensteiner Wand,Kurzer Riss,4,Hartensteiner Wand,1,3,,,sport
2017-08-20,onsight,Oetz,Harakiri,6a,Oetz,1,5,,,sport
2017-08-20,attempt,Oetz,Touch and go,6c,Oetz,2,4,,,sport
2017-08-20,onsight,Hartensteiner Wand,Santa Zofia,5+,Hartensteiner Wand,1,4,,,sport
2017-08-20,attempt,Roter Fels,Harter Hund,7-,Sektor 2,2,4,,,sport
2017-08-20,onsight,Roter Fels,Softmover,5-,Sektor 2,1,3,,,sport
2017-08-20,onsight,Hartensteiner Wand,Abkürzer,6-,Hartensteiner Wand,1,4,,,sport
2017-08-26,attempt,Gotthardskirche,Admiral,7+/8-,Gotthardskirche,2,2,,,sport
2017-08-26,onsight,Gotthardskirche,Siebenschläfer,6+,Gotthardskirche,1,4,,,sport
2017-08-26,onsight,Gotthardskirche,N.N.,7-,Gotthardskirche,1,3,,,sport
2017-09-02,attempt,Klausener Wand,Liebe auf den zweiten Blick,7+/8-,Klausener Wand,2,3,,,sport
2017-09-02,attempt,Klausener Wand,EM Finale,6+,Klausener Wand,1,,,,sport
2017-09-02,attempt,Klausener Wand,Liebe auf den zweiten Blick,7+/8-,Klausener Wand,2,4,,,sport
2017-09-02,onsight,Klausener Wand,Zum Warmmachen,7-,Klausener Wand,1,5,,,sport
2017-09-02,attempt,Klausener Wand,Nur Fliegen ist schöner,8+,Klausener Wand,2,4,,,sport
2017-09-02,redpoint,Klausener Wand,EM Finale,6+,Klausener Wand,2,,,,sport
