date,tick_type,crag_name,route_name,grade,area_name,tries,rating,notes,partner,style
2025-01-01,attempt,Theós,Dr. Motte,4b,Pillar,0,,,,sport
2025-01-02,redpoint,Sabaton,Omihli,7a,Sabaton lower,3,4,,,sport
2025-01-02,onsight,Sabaton,Tokotoukan,6a,Sabaton lower,1,3,,,sport
2025-01-02,onsight,Sabaton,Best & Worst,6b,Mini Canyon,1,4,,,sport
2025-01-02,onsight,Sabaton,Manowar,6a+,Mini Canyon,1,4,,,sport
2025-01-03,attempt,Sabaton,God Save Leonidio,6c,Mini Canyon,1,4,,,sport
2025-01-03,redpoint,Sabaton,And Cakes by Tonnes,7a,Mini Canyon,2,5,"Probably one of the best routes I climbed so far. Crimps, Jugs and Tufas … it has it all.",,sport
2025-01-03,flash,Sabaton,Ta Matia Sou,6b+,Mini Canyon,1,4,,,sport
2025-01-04,onsight,Kokkinovrachos,Mignonette,5c+,Multi-Pitches,1,5,,,sport
2025-04-24,onsight,Cala Gonone -  Chorro,Andate ad Arrampicare!,5b,Sardi nel Cuore,1,5,,,sport
2025-04-24,attempt,Cala Gonone - Biddiriscottai,Aberrante,6b+,Biddiriscottai,1,3,Wie alle Touren hier super schmierig und 6b+ sehe ich nicht aber an sich coole Tour.,,sport
2025-04-24,onsight,Cala Gonone -  Chorro,Ho Bisognio di Sole,6a,Sardi nel Cuore,1,null,,,sport
2025-04-24,onsight,Cala Gonone -  Chorro,N.N.,5c,Sardi nel Cuore,1,5,,,sport
2025-04-24,onsight,Cala Gonone -  Chorro,Piccante ma non troppo,6b+,Sardi nel Cuore,1,null,,,sport
2025-04-24,redpoint,Cala Gonone -  Chorro,Piccantissima,6c,Sardi nel Cuore,2,null,,,sport
2025-04-27,attempt,Cala Gonone - Biddiriscottai,Schiavi Bianchi,6c+,Biddiriscottai,1,null,,,sport
2025-04-27,onsight,Baunei,Automatix,6c,Villaggio Gallico,1,4,,,sport
2025-04-27,onsight,Baunei,Beltorax,6b,Villaggio Gallico,1,5,,,sport
2025-04-27,onsight,Pedra Longa,Marinaio di Foresta,6a+,Unknown Sector,1,5,,,sport
2025-04-27,attempt,Baunei,Primafix,6c+,Villaggio Gallico,1,,,,sport
2025-04-27,redpoint,Baunei,Primafix,6c+,Villaggio Gallico,2,,,,sport
2025-04-28,attempt,Baunei,Jackpress,7a,Ichnusa,1,,,,sport
2025-04-28,onsight,Baunei,Twich,6a+,Campo dei Miracoli,1,4,,,sport
2025-04-30,onsight,Su Casteddu,Ogliastroman,6c,Su Casteddu,1,5,,,sport
2025-04-30,onsight,Baunei,Papo papo,6a,Ichnusa,1,5,,,sport
2025-04-30,onsight,Su Casteddu,Henergy,7a,Su Casteddu,1,null,"First 7a onsight!
On the final moves, I couldn’t spot any footholds anymore—but I definitely preferred that over baking in the sun. A few jams here and there, plus a kneebar, were definitely helpful for shaking out the pump.

Big thanks to whoever placed the quickdraws—hope it was okay to use them! If not, please don’t leave them in next time.",,sport
2025-04-30,attempt,Su Casteddu,Alma,6c,Su Casteddu,1,3,,,sport
2025-04-30,onsight,Baunei,Baby,6a+,Campo dei Miracoli,1,5,,,sport
2025-04-30,onsight,Su Casteddu,Women rock,6a+,Su Casteddu,1,5,,,sport
2025-04-30,attempt,Baunei,Jackpress,7a,Ichnusa,1,,,,sport
2025-05-11,redpoint,Thalhofergrat,Palmwedel,6b+,Obere Ostwand,1,,,,sport
2025-05-11,attempt,Thalhofergrat,Malaria,7a,Obere Westwand,1,,,,sport
2025-05-14,attempt,Thalhofergrat,Cholera,6c+,Südwestwand,1,,,,sport
2025-06-01,redpoint,Hohe Wand,Turbodiesel,6c+,Almfrieden,3,4,,,sport
2025-06-01,onsight,Hohe Wand,Zwerg Nase,6a,Almfrieden,1,3,,,sport
2025-07-06,attempt,Schrattenbach,Widerspenstig,7a,Hexenwand,1,,,,sport
2025-07-09,onsight,Kletterhalle Wien,Grüße aus dem Westen,7a+,,1,null,,,sport
2025-07-20,attempt,Höllental,Glasperlenspiel,7a,Niemandsland,1,5,,,sport
2025-07-20,redpoint,Höllental,Hut ab Muttertag,6b,Niemandsland,2,4,A bit tricky to find the easy way up. ,,sport
2025-07-25,onsight,Kletterhalle Wien,Der Kanal des Beschätigtseins,5a+,,1,null,,,sport
2025-07-25,onsight,Kletterhalle Wien,Fidelio,6b,,1,null,,,sport
2025-07-25,onsight,Kletterhalle Wien,Der Kanal des Charismas,6a,,1,null,,,sport
2025-07-25,attempt,Kletterhalle Wien,Green,7a+,,1,null,Drop Knee,,sport
2025-07-27,onsight,Edelweiss Südstadt,Die Neue halt,8,,1,4,,,sport
2025-07-27,attempt,Edelweiss Südstadt,der Schweiß ist heiß,8+/9-,,1,4,,,sport
2025-07-27,onsight,Edelweiss Südstadt,Plattenspieler,8-,,1,5,,,sport
2025-07-27,onsight,Edelweiss Südstadt,Die Länge macht´s,6+,,1,4,,,sport
2025-07-30,attempt,Blockfabrik,Blocksession 07,6a,,1,null,7a,,sport
2025-07-30,flash,Blockfabrik,Blocksession 03,6a,,1,null,,,sport
2025-08-03,redpoint,Thalhofergrat,Malaria,7a,Obere Westwand,2,5,Endlich 🙌,,sport
2025-08-05,flash,Kletterhalle Wien,Fidelio,6b,,1,null,,,sport
2025-08-05,attempt,Kletterhalle Wien,the prince is coming home,7a+,,1,3,,,sport
2025-08-05,attempt,Kletterhalle Wien,the prince is coming home,7a+,,1,null,,,sport
2025-08-05,redpoint,Kletterhalle Wien,"less friction, more fun",7a+,,2,null,,,sport
2025-08-05,redpoint,Kletterhalle Wien,Green,7a+,,2,null,,,sport
2025-08-05,onsight,Kletterhalle Wien,Iris Pupille,7a+,,1,4,Funky,,sport
2025-08-05,attempt,Kletterhalle Wien,da seh ich rot,7a+,,1,null,,,sport
2025-08-05,onsight,Kletterhalle Wien,Wiki und die starken Mädchen,5c,,1,null,,,sport
2025-08-15,onsight,Kletterhalle Wien,Schismogenesis Solaris I,6a+,,1,null,,,sport
2025-08-16,attempt,Kletterhalle Wien,Triple Split Definition,6c,,1,null,,,sport
2025-08-16,attempt,Kletterhalle Wien,the prince is coming home,7a+,,1,null,,,sport
2025-08-16,onsight,Kletterhalle Wien,Hin und Wieder,6c,,1,4,,,sport
2025-08-17,onsight,Kletterhalle Wien,Manu Negra,5c+,,1,null,,,sport
2025-08-17,onsight,Kletterhalle Wien,Manu Negra Ext.,6b+,,1,null,,,sport
2025-08-20,redpoint,Kletterhalle Wien,the prince is coming home,7a+,,4,3,,,sport
2025-08-20,onsight,Kletterhalle Wien,Juliapril,6b,,1,3,,,sport
2025-08-20,attempt,Kletterhalle Wien,psychoathletischer Bauchaufschwung,7c,,1,null,,,sport
2025-08-20,attempt,Kletterhalle Wien,"viel gerade, viel Kante, viel Ines",7c,,1,null,,,sport
2025-08-21,attempt,Kletterhalle Wien,Urlaub is Coming,7b+,,1,null,,,sport
2025-08-21,onsight,Kletterhalle Wien,Rissquetschwunder,7a,,1,5,,,sport
2025-08-27,attempt,Kletterhalle Wien,as old as school can get,7c,,1,null,,,sport
2025-08-27,onsight,Kletterhalle Wien,search for the good,5c,,1,null,,,sport
2025-08-27,redpoint,Kletterhalle Wien,Antiflow,6b,,0,4,,,sport
2025-08-27,onsight,Kletterhalle Wien,Black Sabbath,6c+,,1,null,,,sport
2025-08-28,attempt,Kletterhalle Wien,Urlaub is Coming,7b+,,1,null,,,sport
2025-09-20,attempt,Kletterhalle Wien,as old as school can get,7c,,1,null,,,sport
2025-09-20,attempt,Kletterhalle Wien,Minimal Techno,7b+,,1,null,,,sport
2025-09-20,onsight,Kletterhalle Wien,Big Thing Corner,6a,,1,null,,,sport
2025-09-23,attempt,Kletterhalle Wien,Doch z'dick da Nick?,6c+,,1,null,,,sport
2025-09-23,onsight,Kletterhalle Wien,Z´leicht fürs Projekt,5c+,,1,4,,,sport
2025-09-23,flash,Kletterhalle Wien,Cruella de stil,6a+,,1,null,,,sport
2025-09-23,attempt,Kletterhalle Wien,as old as school can get,7c,,1,null,,,sport
2025-09-23,attempt,Kletterhalle Wien,für Jonathan,6c+,,1,null,,,sport
2025-09-28,attempt,Thalhofergrat,Ostwandschocker,7a,Ost,1,,,,sport
2025-09-28,onsight,Thalhofergrat,Gruselkabinett,6a+,Obere Ostwand,1,5,,,sport
2025-10-04,redpoint,Thalhofergrat,Staubwedel,6b+,Obere Ostwand,0,,,,sport
2025-10-04,attempt,Thalhofergrat,Thaliffizil,7b,Unknown Sector,1,,,,sport
2025-10-04,attempt,Thalhofergrat,Ostwandschocker,7a,Ost,1,,,,sport
2025-10-15,onsight,Kletterhalle Wien,good looking from far away....,6a,,1,null,,,sport
2025-10-15,attempt,Kletterhalle Wien,Intervall Hangeln,7a+,,1,null,,,sport
2025-10-15,onsight,Kletterhalle Wien,Stelle dich dem blauen Monster.,6c,,1,null,,,sport
2025-10-15,attempt,Kletterhalle Wien,Die Vergessene,7b,,1,null,,,sport
2025-10-15,onsight,Kletterhalle Wien,Eignungsprüfung Instruktor #2,6c+,,1,null,,,sport
2025-10-15,attempt,Kletterhalle Wien,Eignungsprüfung Instruktor #1,6c+,,1,null,,,sport
2025-10-15,onsight,Kletterhalle Wien,not my strong suit,6c,,1,null,,,sport
2025-10-24,attempt,Čiritež,On the road again,6b+,SUNSET,1,null,Almost unfair for 6b,,sport
2025-10-24,onsight,Kamena vrata,Digging for gold,5c,DJEČJE RADOSTI & BOTANICUS & SNJEKULJČICA,1,null,,,sport
2025-10-24,redpoint,Kamena vrata,Cirkus,6b,DJEČJE RADOSTI & BOTANICUS & SNJEKULJČICA,2,4,"Ist der Onsight erst ruiniert, klettert es sich unscheniert. Nice, Route a little bit of everything.",,sport
2025-10-24,onsight,Kompanj,Looser,6a,KRANK,1,4,,,sport
2025-10-24,redpoint,Kamena vrata,Šparoga blues,7a+,DJEČJE RADOSTI & BOTANICUS & SNJEKULJČICA,2,null,,,sport
2025-10-24,attempt,Kamena vrata,Šparoga blues,7a+,DJEČJE RADOSTI & BOTANICUS & SNJEKULJČICA,1,4,,,sport
2025-10-25,onsight,Buzetski kanjon,Avanti popolo,6a+,PENGARI,1,null,,,sport
2025-10-25,attempt,Buzetski kanjon,"Elio Pisak, ruke stisak",6b+,PENGARI,1,3,Could get the ready move or just didn’t find the beta and did quite a wipper. Hard for the grade.,,sport
2025-10-25,flash,Buzetski kanjon,Silence is golden,6a,PENGARI,1,null,,,sport
2025-10-28,attempt,Kompanj,Tricky fingers,6b+,KATZ,1,null,,,sport
2025-10-28,redpoint,Kompanj,Krankenhaus,6c+,KRANK,2,null,,,sport
2025-10-28,onsight,Kompanj,Therapie,5c,KRANK,1,,,,sport
2025-10-28,onsight,Kompanj,Mon Cheri,5c,KATZ,1,3,,,sport
2025-10-31,attempt,Adlitzgräben,Tohuwabohu,7a,Lari Fari,1,4,,,sport
2025-11-04,attempt,Kletterhalle Wien,Olivers Alptraum,7c,,1,null,,,sport
2025-11-08,onsight,Höllental,Schwesterlein Mein,5c,Vordere Stadelwand,1,3,"The crux feels closer to 6a. It is reachy and consists of a single but demanding move that feels noticeably harder than other 5c multi-pitch routes in the area. Protection is generally solid, though some sections contain loose rock, so care is advised.

The highlight is definitely the final pitch, featuring a few delicate moves on small crimps, precise footwork, and a short micro layback. very enjoyable climbing.

If you have double ropes and no parties below, abseiling is recommended. The descent via the Gasserl is feasible but somewhat tedious and time-consuming.",,sport
2025-11-13,onsight,Kletterhalle Wien,Queer und um die Ecke,6a+,,1,null,,,sport
2025-11-13,onsight,Kletterhalle Wien,Peter Jackson,6a,,1,3,,,sport
2025-11-13,onsight,Kletterhalle Wien,Tanz am See mit Martin VT,6c,,1,null,,,sport
2025-11-13,onsight,Kletterhalle Wien,name it yourself,6b+,,1,null,,,sport
2025-11-14,attempt,Kletterhalle Wien,des Teufels Küchenchef,7b,,1,,,,sport
2025-11-14,attempt,Kletterhalle Wien,des Teufels Küchenchef,7b,,1,4,,,sport
2025-11-16,onsight,Edelweiss Südstadt,ein Mädchen Namens Leila,7-,,1,null,,,sport
2025-11-16,attempt,Edelweiss Südstadt,der Schweiß ist heiß,8+/9-,,1,3,,,sport
2025-11-16,onsight,Edelweiss Südstadt,Kids Kletterkombi 1,7-,,1,null,,,sport
2025-11-18,onsight,Kletterhalle Wien,Die weise Pia,6a,,1,null,,,sport
2025-11-18,attempt,Kletterhalle Wien,Olivers Alptraum,7c,,1,null,,,sport
2025-11-18,onsight,Kletterhalle Wien,all them witches,6a+,,1,null,,,sport
2025-11-18,redpoint,Kletterhalle Wien,des Teufels Küchenchef,7b,,0,4,,,sport
2025-11-19,onsight,Kletterhalle Wien,La noche pura,6c+,,1,null,,,sport
2025-11-19,onsight,Kletterhalle Wien,Für Georg,6b+,,1,null,,,sport
2025-11-19,redpoint,Kletterhalle Wien,name it yourself,6b+,,0,null,,,sport
2025-11-19,onsight,Kletterhalle Wien,Spekulatiusverschwörung,7a,,1,null,,,sport
2025-12-05,onsight,Kletterhalle Wien,Emerald City,6a,,1,5,,,sport
2025-12-05,onsight,Kletterhalle Wien,Prima Ballerina,6a+,,1,null,,,sport
2025-12-05,attempt,Kletterhalle Wien,Beli,7a,,1,4,,,sport
2025-12-05,attempt,Kletterhalle Wien,Hans-Stadt Stadlau,7b+,,1,null,,,sport
2025-12-05,attempt,Kletterhalle Wien,Hans-Stadt Stadlau,7b+,,1,null,,,sport
2026-01-03,onsight,Kletterhalle Wien,Der Kanal der Hingabe,6a+,,1,null,,,sport
2026-01-03,attempt,Kletterhalle Wien,पावित्र means holy!,7a+,,1,3,,,sport
2026-01-03,attempt,Kletterhalle Wien,पावित्र means holy!,7a+,,1,null,,,sport
2026-01-03,attempt,Kletterhalle Wien,Purer Elch grüßt Planke Jasmin!,6b,,1,null,Food slipped at the top 😬🙉,,sport
2026-01-03,attempt,Kletterhalle Wien,subkutane Keksiverbrennungsanlage,7b,,1,null,,,sport
2026-01-03,onsight,Kletterhalle Wien,16.2,6a,,1,null,,,sport
2026-01-03,attempt,Kletterhalle Wien,underpromising and overdelivering,7b,,1,4,,,sport
2026-02-28,onsight,Hohe Wand,Obere Naglkante,6a,Naglplatten,1,4,,,sport
2026-02-28,onsight,Hohe Wand,Anwandler,6a,Naglplatten,1,,,,sport
2025-06-23,redpoint,Squamish,The Great Game,5.10d,,,3.8,Second try and pumped as hell after pitch 1. Amazing line and one of the best I did so far in Squamish!,,sport
2025-06-22,attempt,Squamish,Skyline Arête,5.11a A0,,,3.0,,,sport
2025-06-20,attempt,Squamish,The Great Game,5.10d,,,3.8,,,sport
2025-06-19,attempt,Squamish,Apron Strings,5.10b,,,3.6,,,sport
2025-06-19,attempt,Squamish,Rock On,5.10a,,,3.7,Once as I was not leading I slipped at the corner ,,sport
2025-06-18,attempt,Squamish,The Squamish Buttress,5.10c,,,3.1,Fell at the Crux Pitch twice. Once I got stuck with the rope and I could make it over the edge.,,sport
2025-06-16,onsight,Squamish,The Spirit of Squamish,5.8,,,3.5,Nice one. Slaps are tricky but we’ll bolted! ,,sport
2025-06-16,flash,Squamish,More Than Just A Pretty Face,5.10c,,,3.2,,,sport
2025-06-16,flash,Squamish,"Hungry, Hungry Hippos",5.10a,,,2.5,,,sport
2025-06-16,onsight,Squamish,Ancient Squamish Secret,5.9,,,2.6,,,sport
2025-06-16,onsight,Squamish,The Total StinkEye,5.7,,,2.3,,,sport
2025-06-16,onsight,Squamish,"""Otto Mattock""",5.6,,,2.5,,,sport
