"route_boulder","name","location_name","sector_name","area_name","country_code","date","type","sub_type","rating","project","tries","repeats","difficulty","perceived_hardness","comment","height","recommended","sits"
"ROUTE","Klein und gemein","Hexenküche","Sektor 2",,"DE","2017-07-22T12:00:00Z","os",,"0","0","1","0","6",,"","15","0","null"
"ROUTE","Südostkante","Kirchthalwände","Kirchthalwände",,"DE","2017-07-22T12:00:00Z","os",,"0","0","1","0","6-",,"","21","0","null"
"ROUTE","Rechte Nordwand","Spieser Wand","Spieser Wand",,"DE","2017-07-22T12:00:00Z","rp",,"3","0","2","0","7",,"","20","0","null"
"ROUTE","Streiflicht","Algersdorfer Wand","Algersdorfer Wand",,"DE","2017-07-22T12:00:00Z","rp",,"3","0","2","0","7-",,"","22","0","null"
"ROUTE","Nebenbei","Spieser Wand","Spieser Wand",,"DE","2017-07-22T12:00:00Z","rp",,"0","1","2","0","7+",,"","21","0","null"
"ROUTE","Höhenkoller","Algersdorfer Wand","Algersdorfer Wand",,"DE","2017-07-22T12:00:00Z","rp",,"0","1","2","0","7+",,"","21","0","null"
"ROUTE","Hufeisen","Hühnersteinwand","Hühnersteinwand",,"DE","2017-07-22T12:00:00Z","os",,"0","0","1","0","4",,"","25","0","null"
"ROUTE","Faule Kalorie","Zimmerbergwände","Sektor 1",,"DE","2017-07-22T12:00:00Z","os",,"2","0","1","0","6+",,"","15","0","null"
"ROUTE","Seelendoping","Große Wacht","Große Wacht",,"DE","2017-07-30T12:00:00Z","os",,"0","0","1","0","6",,"","18","0","null"
"ROUTE","Hometrainer","Hauseck","Hauseck",,"DE","2017-07-30T12:00:00Z","rp",,"0","1","2","0","7+",,"","10","0","null"
"ROUTE","Bauhaus","Hauseck","Hauseck",,"DE","2017-07-30T12:00:00Z","go",,"4","1","2","0","7+/8-",,"Crux nach dem letzten Hacken vor dem Umlenker. Macht Spaß!","10","0","null"
"ROUTE","Moser Ged.-Weg","Große Wacht","Große Wacht",,"DE","2017-07-30T12:00:00Z","rp",,"0","1","2","0","6",,"Aufpassen das man nicht in die 8- reinkommt.","21","0","null"
"ROUTE","Sportflieger","Große Wacht","Große Wacht",,"DE","2017-07-30T12:00:00Z","rp",,"5","1","2","0","7",,"","18","0","null"
"ROUTE","Grün ist die Hoffnung","Hauseck","Hauseck",,"DE","2017-07-30T12:00:00Z","tr",,"4","0","2","0","7+",,"Nach dem ersten Hacken Sack schwer für den Grad!","10","0","null"
"ROUTE","Diesel mit Schuss","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-08-01T12:00:00Z","go",,"4","1","2","0","7+/8-",,"Nicht schön speckig ","12","0","null"
"ROUTE","Kleiner Feigling","Schwarzbrennerei","Schwarzbrennerei",,"DE","2017-08-01T12:00:00Z","go",,"1","1","2","0","7+",,"Ende ist crrap ","12","0","null"
"ROUTE","Direkte Weiße Wand","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2017-08-01T12:00:00Z","os",,"3","0","1","0","7-",,"","15","0","null"
"ROUTE","Arrabiata","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2017-08-01T12:00:00Z","tr",,"3","0","2","0","7+",,"","15","0","null"
"ROUTE","Boulder","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2017-08-01T12:00:00Z","tr",,"3","0","2","0","7-",,"","15","0","null"
"ROUTE","Kiefernverschneidung","Weiße Wand (Hirschbachtal)","Südseite",,"DE","2017-08-01T12:00:00Z","os",,"4","0","1","0","6-",,"","15","0","null"
"ROUTE","Erogene Zone","Kirchthalwände","Kirchthalwände",,"DE","2017-08-01T12:00:00Z","go",,"4","0","2","0","8+/9-",,"","18","0","null"
"ROUTE","Referendarsteig","Steingarten / Langer Berg Wände","Sektor 1",,"DE","2017-08-05T12:00:00Z","go",,"5","1","2","0","7+",,"","25","0","null"
"ROUTE","Methusalemkante","Steingarten / Langer Berg Wände","Sektor 1",,"DE","2017-08-05T12:00:00Z","os",,"3","0","1","0","6+",,"","25","0","null"
